Date,Open,High,Low,Close,Adj Close,Volume
1/10/2018,54.549999,55.955002,54,55.919998,55.424122,58266400
1/11/2018,56.25,56.567501,55.802502,56.02,55.523235,40603200
1/12/2018,55.900002,56.247501,55.334999,55.744999,55.250671,35991600
1/16/2018,56.012501,56.877499,54.172501,55.0275,54.539528,70234800
1/17/2018,55.174999,56.279999,54.224998,56.18,55.681816,53840800
1/18/2018,55.985001,56.66,55.669998,56.110001,55.612434,40863200
1/19/2018,57.022499,57.772499,56.75,57.5275,57.017357,60938000
1/22/2018,57.607498,58.439999,57.025002,58.422501,57.90443,55094400
1/23/2018,58.962502,59.9575,58.775002,59.727501,59.197849,47522800
1/24/2018,59.759998,60.122501,58.387501,58.950001,58.427246,57997200
1/25/2018,59.5,59.9375,58.9375,59.087502,58.56353,40988400
1/26/2018,59.529999,60.834999,59.400002,60.8325,60.293064,51635600
1/29/2018,60.685001,62.0275,60.1525,61.712502,61.165253,45511600
1/30/2018,60.2775,61.605,59.602501,60.68,60.141911,57083200
1/31/2018,61.442501,62.317501,61.112499,61.450001,60.905079,47857600
2/1/2018,59.630001,61.724998,59.514999,60.125,59.591835,51922400
2/2/2018,59.25,59.4925,57.7925,58.380001,57.862309,71846400
2/5/2018,56.75,58.307499,51.25,53.424999,52.951237,116520400
2/6/2018,51.099998,56.424999,51,56.395,55.894909,111480000
2/7/2018,57.395,58.7425,56.674999,57.200001,56.692764,80293200
2/8/2018,58.470001,58.805,54.377499,54.380001,53.897774,114400000
2/9/2018,59.5625,59.7225,54.380001,58.02,57.505501,167460400
2/12/2018,58.84,58.869999,56.2575,57.0075,56.501968,109317200
2/13/2018,56.639999,58.625,56.3125,58.157501,57.641777,62552400
2/14/2018,57.75,60.647499,57.637501,60.355,59.819794,74498800
2/15/2018,61.197498,62.092499,60.380001,61.625,61.078529,69890000
2/16/2018,61.349998,62.5,60.8675,60.959999,60.419426,63765600
2/20/2018,61.1875,62.967499,61.150002,62.27,61.717804,68624000
2/21/2018,62.922501,62.9925,60.34,60.377499,59.842098,89229200
2/22/2018,60.682499,61.407501,59.875,60.537498,60.03796,53436400
2/23/2018,61.142502,61.482498,60.630001,61.482498,60.975174,41530000
2/26/2018,61.950001,61.994999,61.014999,61.645,61.136322,46931200
2/27/2018,61.375,62.227501,61.282501,61.514999,61.007393,45543600
2/28/2018,61.625,62.025002,60.3825,60.5,60.000774,52311600
3/1/2018,60.477501,61.022499,57.029999,58.052502,57.573467,104012000
3/2/2018,56.965,59.200001,55.462502,59.134998,58.647034,91342800
3/5/2018,58.627499,59.3125,57.380001,58.912498,58.426369,62077600
3/6/2018,59.775002,60.735001,59.34,60.540001,60.040436,63680800
3/7/2018,59.5,60.987499,59.487499,60.459999,59.961094,58120800
3/8/2018,60.737499,60.737499,59.8475,60.294998,59.797455,41191200
3/9/2018,60.775002,61.462502,60.612499,61.3325,60.826401,50552400
3/12/2018,61.75,63.25,61.6675,62.439999,61.924763,60506000
3/13/2018,62.872501,63.625,61.509998,61.927502,61.416492,61977200
3/14/2018,62.362499,62.637501,61.555,62.185001,61.671871,50549600
3/15/2018,62.322498,63.154999,61.91,62.334999,61.820629,40195200
3/16/2018,62.5,62.8125,62.119999,62.619999,62.103271,39945600
3/19/2018,62.044998,62.337502,59.25,60.25,59.752831,71377200
3/20/2018,60.279999,62.787498,60.279999,62.395,61.880131,55469600
3/21/2018,62.330002,63,61.8325,62.139999,61.627232,43868800
3/22/2018,61.5,61.970001,60.084999,60.462502,59.963577,55119600
3/23/2018,60.599998,60.625,58.130001,58.2425,57.761898,73562000
3/26/2018,59.5,61.1325,58.974998,61.119999,60.615654,61142400
3/27/2018,61.9375,62.5,54.962502,56.380001,55.914768,140900000
3/28/2018,56.032501,57.3475,54.25,55.337502,54.880878,94590400
3/29/2018,56.0275,58.875,55.174999,57.897499,57.41975,91662800
4/2/2018,57.185001,58.662498,54.375,55.262501,54.806488,92209200
4/3/2018,56.950001,57.587502,55.337502,56.337502,55.872623,66743200
4/4/2018,53.752499,56.665001,53.5,56.560001,56.093285,78916800
4/5/2018,57.150002,57.282501,54.622501,55.345001,54.888309,70124000
4/6/2018,54.307499,55.400002,53.267502,53.5625,53.120514,66298800
4/9/2018,54.200001,55.4925,53.650002,53.852501,53.408123,49952400
4/10/2018,56.18,57.25,55.602501,56.977501,56.507336,76167600
4/11/2018,56.827499,57.244999,56.23,56.560001,56.093285,46024400
4/12/2018,57.5,58.830002,57.052502,58.650002,58.166035,59392000
4/13/2018,59.2925,59.377499,57.387501,57.875,57.397438,50303600
4/16/2018,57.942501,58.209999,56.919998,57.872501,57.394951,35079200
4/17/2018,58.400002,59.599998,57.837502,59.384998,58.894962,44722400
4/18/2018,58.875,59.8125,58.192501,59.092499,58.604881,39136400
4/19/2018,57.9375,58.275002,56.700001,57.259998,56.787502,47199600
4/20/2018,57.172501,58.025002,56.862499,57.177502,56.705685,38620000
4/23/2018,57.357498,57.875,55.7075,55.970001,55.508148,42750800
4/24/2018,56.23,57.200001,54.639999,55.299999,54.843681,41459600
4/25/2018,55,55.395,52.575001,54.165001,53.718048,58849200
4/26/2018,55.799999,56.387501,55.1325,56.305,55.840389,37582400
4/27/2018,57.375,57.575001,56.154999,56.5825,56.115601,40084800
4/30/2018,56.747501,57.25,56.029999,56.224998,55.761047,32784400
5/1/2018,56.142502,56.8125,55.549999,56.785,56.316422,25378800
5/2/2018,56.75,57.200001,56.3125,56.577499,56.110638,26824800
5/3/2018,56.900002,58.512501,56.442501,58.247501,57.766861,44314400
5/4/2018,57.9575,59.797501,57.782501,59.764999,59.271835,40066000
5/7/2018,60.822498,62.747501,60.7225,62.169998,61.657001,68761600
5/8/2018,62.172501,62.627499,61.677502,62.599998,62.083443,50661600
5/9/2018,62.802502,63.967499,62.5275,63.945,63.417343,59676000
5/10/2018,64.480003,65.125,64.300003,65.032501,64.495872,99408000
5/11/2018,63.195,64.947502,62.634998,63.6325,63.107422,121445600
5/14/2018,64.017502,64.622498,63.599998,63.84,63.313202,52314000
5/15/2018,63.197498,63.224998,60.375,61.389999,60.883427,96352800
5/16/2018,61,62.130001,60.627499,61.502499,60.994995,55382800
5/17/2018,61.52,62.875,61.357498,61.927502,61.416492,51978400
5/18/2018,62.452499,63.092499,61.435001,61.485001,60.977638,48371600
5/21/2018,62.470001,62.5075,60.122501,61.060001,60.556141,64062400
5/22/2018,61.195,61.450001,60.0625,60.674999,60.174324,51826400
5/23/2018,60.07,61.897499,60.0625,61.884998,61.412292,44295600
5/24/2018,61.8475,62.349998,61.310001,61.922501,61.449505,43737200
5/25/2018,62.049999,62.485001,61.689999,62.32,61.843971,29211200
5/29/2018,62.137501,62.834999,61.674999,62.147499,61.672794,35268400
5/30/2018,62.487499,63.334999,62.237499,63.247501,62.764393,39099600
5/31/2018,62.924999,63.799999,62.817501,63.047501,62.565918,49386800
6/1/2018,63.5,64.467499,63.412498,64.404999,63.913052,42196800
6/4/2018,64.75,66.434998,64.425003,66.212502,65.706749,64202400
6/5/2018,66.245003,66.647499,65.792503,66.267502,65.761322,39171200
6/6/2018,65.357498,66.32,65.192497,66.287498,65.781166,37135600
6/7/2018,66.25,66.370003,64.8125,65.724998,65.222954,36944800
6/8/2018,64.989998,66,64.800003,65.57,65.069145,36045600
6/11/2018,65.442497,65.862503,65.025002,65.154999,64.65731,26537200
6/12/2018,65.422501,65.767502,64.915001,65.644997,65.143578,31916000
6/13/2018,65.660004,66.417503,65.5075,65.599998,65.098915,33820800
6/14/2018,66.055,67.300003,65.904999,66.727501,66.217812,43001600
